Dân số theo thành thị/nông thôn & giới tính,,,,,,,,,,
,,,,,,,,,,
Quận,Tổng số,,,Thành thị,,,Nông thôn,,,Diện tích (km2)
,Chung,Nam,Nữ,Chung,Nam,Nữ,Chung,Nam ,Nữ,
Ba Đình,221893,107074,114819,221893,107074,114819,,,,"9,25"
Hoàn Kiếm,135618,65268,70350,135618,65268,70350,,,,"5,29"
Tây Hồ,160495,78463,82032,160495,78463,82032,,,,"24,01"
Long Biên,322549,159171,163378,322549,159171,163378,,,,"59,93"
Cầu Giấy,292536,138135,154401,292536,138135,154401,,,,"12,03"
Đống Đa,371606,175619,195987,371606,175619,195987,,,,"9,96"
Hai Bà Trưng,303586,147711,155875,303586,147711,155875,,,,"10,09"
Hoàng Mai,506347,251941,254406,506347,251941,254406,,,,"40,32"
Thanh Xuân,293524,142966,150538,293524,142966,150538,,,,"9,08"
Sóc Sơn,343432,172281,171151,4849,2408,2441,338583,169873,168710,"306,51"
Đông Anh,405749,202851,202898,25274,12550,12724,38475,190301,190174,"182,14"
Gia Lâm,286102,141007,145095,44859,21492,23367,241243,119515,151728,"114,73"
Nam Từ Liêm,264246,132121,132125,264246,132121,132125,,,,"43,35"
Thanh Trì,275745,139144,136601,16762,8353,8409,286983,130791,128192,"32,27"
Bắc Từ Liêm,335110,168160,166950,335110,168160,166950,,,,"62,93"
Mê Linh,240555,120276,120279,37397,18152,19245,203158,102124,101034,"142,51"
Hà Đông,397854,198732,199122,397854,198732,199122,,,,"48,34"
Sơn Tây,145856,73004,72852,76956,38781,38175,68900,34223,34677,"113,53"
Ba Vì,290580,145529,145051,15582,7833,7749,274998,137696,137302,"424,03"
Phúc Thọ,184024,91461,92563,8720,4346,4374,175304,87115,88189,"117,19"
Đan Phượng,174501,87394,87107,10605,5247,5358,163896,82147,81749,"77,35"
Hoài Đức,262978,132015,130963,6217,3051,3166,256761,128964,127797,"82,47"
Quốc Oai,194412,96998,97414,14491,7183,7308,179921,89815,90106,"147,91"
Thạch Thất,216554,109635,106919,6552,3276,3276,210002,106359,103643,"184,59"
Chương Mỹ,337326,169277,168019,36429,18276,18153,300897,151001,149896,"232,41"
Thanh Oai,221029,106185,104844,7069,3548,3521,203960,102637,101323,"123,85"
Thường Tin,254702,126872,127830,6178,3015,3163,248724,123857,124667,"127,39"
Phú Xuyên,213984,106915,107069,16651,8352,8299,197333,98563,98770,"171,10"
Ứng Hòa,210869,105327,105542,14340,7102,7238,196529,98225,98304,"183,75"
Mỹ Đức,199901,100367,99534,8015,3999,4016,191886,96368,95518,"226,20"
